Time [ms],Thrust [N],Torque [Nm]
81285,-53.55,-0.5004
81383,-53.81,-0.5029
81480,-54.05,-0.5117
81577,-54.22,-0.5116
81673,-54.52,-0.5117
81771,-55.03,-0.5210
81868,-55.31,-0.5226
81964,-55.64,-0.5230
82062,-55.86,-0.5241
82159,-55.95,-0.5336
82256,-56.25,-0.5347
82352,-56.78,-0.5301
82450,-57.10,-0.5328
82547,-57.22,-0.5469
82644,-57.40,-0.5444
82740,-57.99,-0.5284
82838,-58.53,-0.5216
82935,-58.43,-0.5229
83032,-58.06,-0.5225
83129,-57.87,-0.5186
83226,-57.73,-0.5176
83323,-57.39,-0.5120
83419,-57.26,-0.5065
83517,-57.07,-0.5059
83614,-56.76,-0.5076
83711,-56.54,-0.5107
83807,-56.46,-0.5176
83905,-56.43,-0.5291
84002,-56.51,-0.5339
84099,-56.74,-0.5367
84196,-56.95,-0.5427
84293,-57.17,-0.5360
84390,-57.36,-0.5186
84487,-57.35,-0.5045
84584,-57.08,-0.4917
84681,-56.62,-0.4844
84778,-55.87,-0.4833
84874,-54.57,-0.4768
84972,-54.09,-0.4736
85069,-53.59,-0.4632
85166,-53.05,-0.4582
85263,-52.59,-0.4478
85360,-52.19,-0.4383
85457,-51.65,-0.4313
85554,-50.94,-0.4228
85651,-50.21,-0.4179
85748,-49.35,-0.4127
85845,-48.65,-0.4020
85942,-48.05,-0.3876
86039,-47.33,-0.3755
86136,-46.43,-0.3688
86233,-45.37,-0.3621
86330,-44.50,-0.3598
86427,-42.82,-0.3480
86524,-42.20,-0.3328
86621,-41.23,-0.3226
86718,-40.09,-0.3120
86815,-38.96,-0.3005
86912,-37.91,-0.2941
87010,-36.97,-0.2897
87106,-36.28,-0.2812
87203,-35.68,-0.2647
87300,-35.00,-0.2591
87397,-34.08,-0.2453
87494,-33.27,-0.2392
87591,-32.29,-0.2345
87688,-31.08,-0.2224
87785,-30.19,-0.2054
87882,-29.24,-0.1943
87979,-26.97,-0.1856
88077,-25.93,-0.1839
88173,-24.91,-0.1743
88270,-24.01,-0.1567
88367,-22.86,-0.1463
88464,-21.58,-0.1361
88561,-20.45,-0.1181
88658,-19.56,-0.0949
88755,-18.55,-0.0895
88852,-17.05,-0.0849
88949,-15.66,-0.0764
89046,-14.63,-0.0739
89144,-13.67,-0.0740
89240,-12.87,-0.0750
89337,-12.17,-0.0733
89434,-11.63,-0.0679
89531,-10.53,-0.0588
89628,-10.01,-0.0479
89725,-9.42,-0.0418
89822,-8.70,-0.0379
89919,-8.03,-0.0260
90016,-7.42,-0.0106
90113,-6.72,-0.0086
90210,-5.98,0.0027
90307,-5.42,0.0185
90404,-4.88,0.0238
90501,-4.26,0.0328
90598,-3.74,0.0459
90695,-3.17,0.0592
90792,-2.60,0.0771
90889,-2.15,0.0266
90986,-1.49,-0.0617
91083,-0.53,-0.0751
91180,-0.54,-0.0779
91277,-0.54,-0.0780
91374,-0.55,-0.0783
91471,-0.56,-0.0783
91568,-0.56,-0.0777
91665,-0.57,-0.0778
91762,-0.58,-0.0780
91859,-0.58,-0.0779
91956,-0.59,-0.0781
92053,-0.59,-0.0779
92150,-0.59,-0.0777
92247,-0.59,-0.0781
92344,-0.60,-0.0780
92441,-0.60,-0.0778
92538,-0.60,-0.0774
92635,-0.61,-0.0777
92732,-0.61,-0.0776
92829,-0.61,-0.0775
92926,-0.61,-0.0779
93022,-0.62,-0.0780
93120,-0.62,-0.0781
93217,-0.61,-0.0778
93314,-0.62,-0.0779
93411,-0.63,-0.0781
93508,-0.63,-0.0782
93605,-0.62,-0.0782
93702,-0.62,-0.0781
93799,-0.63,-0.0786
93896,-0.63,-0.0786
93993,-0.63,-0.0782
94089,-0.63,-0.0782
94187,-0.63,-0.0780
94284,-0.64,-0.0781
94381,-0.64,-0.0783
94478,-0.64,-0.0783
94575,-0.64,-0.0786
94672,-0.64,-0.0788
94768,-0.64,-0.0783
94866,-0.64,-0.0781
94963,-0.65,-0.0785
95060,-0.64,-0.0788
95156,-0.64,-0.0790
95254,-0.65,-0.0789
95351,-0.65,-0.0784
95448,-0.65,-0.0785
95545,-0.65,-0.0789
95642,-0.65,-0.0788
95739,-0.65,-0.0789
95835,-0.65,-0.0789
95933,-0.66,-0.0786
96030,-0.66,-0.0787
96127,-0.66,-0.0788
96223,-0.66,-0.0789
96321,-0.65,-0.0789
96418,-0.65,-0.0791
96514,-0.66,-0.0792
96612,-0.66,-0.0791
96709,-0.66,-0.0794
96806,-0.66,-0.0793
96902,-0.66,-0.0792
97000,-0.66,-0.0791
97097,-0.66,-0.0791
97193,-0.66,-0.0791
